time,altitude,apoapsis,periapsis,speed,pitch,throttle,mass,dynamic_pressure
127.09,45868.15,100643.29,-516358.73,1241.73,16.5640869140625,0.0,166929.25,324.3
127.21,45965.94,100641.48,-516358.46,1241.06,16.55987548828125,0.0,166929.25,319.17
127.33,46063.63,100639.71,-516358.2,1240.39,16.55889892578125,0.0,166929.25,314.12
127.45,46161.23,100637.96,-516357.95,1239.72,16.561065673828125,0.0,166929.25,309.16
127.57,46242.49,100636.53,-516357.75,1239.16,16.565032958984375,0.0,166929.25,305.08
127.67,46323.69,100635.12,-516357.55,1238.61,16.571746826171875,0.0,166929.25,300.26
127.79,46437.25,100633.18,-516357.28,1237.83,16.579742431640625,0.0,166929.25,295.52
127.91,46518.29,100631.82,-516357.1,1237.27,16.5882568359375,0.0,166929.25,290.85
128.03,46615.44,100630.21,-516356.88,1236.61,16.595367431640625,0.0,166929.25,287.02
128.13,46696.33,100628.89,-516356.7,1236.05,16.602325439453125,0.0,166929.25,283.25
128.23,46793.32,100627.33,-516356.5,1235.39,16.610198974609375,0.0,166929.25,278.78
128.35,46890.2,100625.8,-516356.3,1234.72,16.61749267578125,0.0,166929.25,274.38
128.47,46970.87,100624.54,-516356.14,1234.17,16.623046875,0.0,166929.25,270.77
128.57,47067.59,100623.06,-516355.95,1233.51,16.629180908203125,0.0,166929.25,266.51
128.69,47164.21,100621.59,-516355.77,1232.85,16.6346435546875,0.0,166929.25,262.31
128.81,47244.65,100620.4,-516355.62,1232.29,16.63885498046875,0.0,166929.25,258.86
128.91,47341.1,100618.98,-516355.45,1231.63,16.643341064453125,0.0,166929.25,254.79
129.03,47437.45,100617.59,-516355.29,1230.97,16.64739990234375,0.0,166929.25,250.78
129.15,47533.7,100616.22,-516355.13,1230.31,16.651031494140625,0.0,166929.25,246.83
129.27,47613.85,100615.1,-516355.0,1229.76,16.653778076171875,0.0,166929.25,243.59
129.37,47709.93,100613.77,-516354.85,1229.1,16.65679931640625,0.0,166929.25,239.76
129.49,47789.93,100612.68,-516354.73,1228.55,16.65911865234375,0.0,166929.25,236.61
129.59,47885.84,100611.39,-516354.59,1227.89,16.661712646484375,0.0,166929.25,232.89
129.71,47981.65,100610.13,-516354.45,1227.24,16.66412353515625,0.0,166929.25,229.22
129.83,48077.38,100608.88,-516354.32,1226.58,16.6663818359375,0.0,166929.25,225.62
129.95,48157.07,100607.86,-516354.22,1226.03,16.66815185546875,0.0,166929.25,222.65
130.05,48252.62,100606.65,-516354.09,1225.38,16.670257568359375,0.0,166929.25,219.15
130.17,48348.08,100605.46,-516353.98,1224.72,16.672271728515625,0.0,166929.25,215.7
130.29,48443.44,100604.3,-516353.86,1224.07,16.67425537109375,0.0,166929.25,212.3
130.41,48522.84,100603.34,-516353.77,1223.52,16.6759033203125,0.0,166929.25,209.5
130.51,48618.02,100602.21,-516353.67,1222.87,16.677886962890625,0.0,166929.25,206.2
130.63,48713.12,100601.09,-516353.57,1222.21,16.679840087890625,0.0,166929.25,202.94
130.75,48792.29,100600.18,-516353.48,1221.67,16.68145751953125,0.0,166929.25,200.27
130.85,48871.4,100599.28,-516353.4,1221.13,16.68304443359375,0.0,166929.25,197.63
130.95,48966.25,100598.21,-516353.31,1220.47,16.684967041015625,0.0,166929.25,194.5
131.07,49045.21,100597.34,-516353.24,1219.93,16.686492919921875,0.0,166929.25,191.92
131.17,49124.11,100596.48,-516353.17,1219.39,16.68841552734375,0.0,166929.25,188.88
131.29,49218.71,100595.46,-516353.09,1218.74,16.69000244140625,0.0,166929.25,186.37
131.39,49313.21,100594.46,-516353.01,1218.09,16.691864013671875,0.0,166929.25,183.4
131.51,49391.89,100593.64,-516352.95,1217.55,16.69342041015625,0.0,166929.25,180.96
131.61,49470.5,100592.83,-516352.89,1217.01,16.6949462890625,0.0,166929.25,178.55
131.71,49564.75,100591.87,-516352.82,1216.36,16.696807861328125,0.0,166929.25,175.7
131.83,49658.91,100590.93,-516352.75,1215.71,16.6986083984375,0.0,166929.25,172.89
131.95,49752.97,100590.01,-516352.69,1215.06,16.70050048828125,0.0,166929.25,170.12
132.07,49846.94,100589.1,-516352.63,1214.41,16.702362060546875,0.0,166929.25,167.39
132.19,49940.82,100588.21,-516352.58,1213.77,16.7042236328125,0.0,166929.25,164.71
132.31,50034.6,100587.33,-516352.52,1213.12,16.706085205078125,0.0,166929.25,162.06
132.43,50128.29,100586.46,-516352.47,1212.48,16.70794677734375,0.0,166929.25,159.45
132.55,50206.29,100585.75,-516352.43,1211.94,16.709442138671875,0.0,166929.25,157.31
132.65,50299.81,100584.92,-516352.38,1211.3,16.71124267578125,0.0,166929.25,154.78
132.77,50393.24,100584.09,-516352.34,1210.65,16.713043212890625,0.0,166929.25,152.29
132.89,50486.57,100583.28,-516352.3,1210.01,16.714874267578125,0.0,166929.25,149.83
133.01,50579.81,100582.49,-516352.26,1209.37,16.716644287109375,0.0,166929.25,147.41
133.13,50672.95,100581.71,-516352.23,1208.73,16.718475341796875,0.0,166929.25,145.03
133.25,50750.5,100581.06,-516352.2,1208.19,16.719940185546875,0.0,166929.25,143.08
133.35,50843.48,100580.31,-516352.17,1207.55,16.7218017578125,0.0,166929.25,140.76
133.47,50920.89,100579.68,-516352.14,1207.02,16.72320556640625,0.0,166929.25,138.86
133.57,50998.23,100579.07,-516352.12,1206.48,16.7247314453125,0.0,166929.25,136.99
133.67,51090.95,100578.35,-516352.09,1205.84,16.726470947265625,0.0,166929.25,134.77
133.79,51168.16,100577.75,-516352.07,1205.31,16.7279052734375,0.0,166929.25,132.95
